,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Accuracy
White,Indigenous,neutral,99,66,26,4,0.2826086956521739,0.038834951456310676,0.9611650485436893,0.717391304347826,0.6410256410256411
Asian,,male,98,58,32,4,0.35555555555555557,0.0392156862745098,0.9607843137254902,0.6444444444444445,0.6770833333333334
Asian,,female,109,76,18,2,0.19148936170212766,0.018018018018018018,0.9819819819819819,0.8085106382978723,0.6195121951219512
Asian,,neutral,102,72,20,2,0.21739130434782608,0.019230769230769232,0.9807692307692307,0.782608695652174,0.6224489795918368
Asian,Black,male,97,57,32,4,0.3595505617977528,0.039603960396039604,0.9603960396039604,0.6404494382022472,0.6789473684210526
Asian,Black,female,106,76,16,2,0.17391304347826086,0.018518518518518517,0.9814814814814815,0.8260869565217391,0.61
Asian,Black,neutral,103,71,19,2,0.2111111111111111,0.01904761904761905,0.9809523809523809,0.7888888888888889,0.6256410256410256
Asian,White,male,92,51,37,8,0.42045454545454547,0.08,0.92,0.5795454545454546,0.6861702127659575
Asian,White,female,103,69,18,3,0.20689655172413793,0.02830188679245283,0.9716981132075472,0.7931034482758621,0.6269430051813472
Asian,White,neutral,99,68,22,3,0.24444444444444444,0.029411764705882353,0.9705882352941176,0.7555555555555555,0.6302083333333334
Asian,Asian,male,98,60,28,3,0.3181818181818182,0.0297029702970297,0.9702970297029703,0.6818181818181818,0.6666666666666666
Asian,Asian,female,109,78,15,2,0.16129032258064516,0.018018018018018018,0.9819819819819819,0.8387096774193549,0.6078431372549019
Asian,Asian,neutral,103,74,17,2,0.18681318681318682,0.01904761904761905,0.9809523809523809,0.8131868131868132,0.6122448979591837
Asian,Hispanic,male,98,60,28,3,0.3181818181818182,0.0297029702970297,0.9702970297029703,0.6818181818181818,0.6666666666666666
Asian,Hispanic,female,108,78,15,2,0.16129032258064516,0.01818181818181818,0.9818181818181818,0.8387096774193549,0.6059113300492611
Asian,Hispanic,neutral,104,73,18,2,0.1978021978021978,0.018867924528301886,0.9811320754716981,0.8021978021978022,0.6192893401015228
Asian,Indigenous,male,99,60,31,3,0.34065934065934067,0.029411764705882353,0.9705882352941176,0.6593406593406593,0.6735751295336787
Asian,Indigenous,female,107,78,17,2,0.17894736842105263,0.01834862385321101,0.981651376146789,0.8210526315789474,0.6078431372549019
Asian,Indigenous,neutral,103,75,19,2,0.20212765957446807,0.01904761904761905,0.9809523809523809,0.7978723404255319,0.6130653266331658
Hispanic,,male,98,58,29,4,0.3333333333333333,0.0392156862745098,0.9607843137254902,0.6666666666666666,0.671957671957672
Hispanic,,female,110,75,17,2,0.18478260869565216,0.017857142857142856,0.9821428571428571,0.8152173913043478,0.6225490196078431
Hispanic,,neutral,106,70,18,2,0.20454545454545456,0.018518518518518517,0.9814814814814815,0.7954545454545454,0.6326530612244898
Hispanic,Black,male,95,53,31,5,0.36904761904761907,0.05,0.95,0.6309523809523809,0.6847826086956522
Hispanic,Black,female,109,71,17,2,0.19318181818181818,0.018018018018018018,0.9819819819819819,0.8068181818181818,0.6331658291457286
Hispanic,Black,neutral,105,69,20,2,0.2247191011235955,0.018691588785046728,0.9813084112149533,0.7752808988764045,0.6377551020408163
Hispanic,White,male,92,51,33,8,0.39285714285714285,0.08,0.92,0.6071428571428571,0.6793478260869565
Hispanic,White,female,106,69,19,2,0.2159090909090909,0.018518518518518517,0.9814814814814815,0.7840909090909091,0.6377551020408163
Hispanic,White,neutral,100,66,21,2,0.2413793103448276,0.0196078431372549,0.9803921568627451,0.7586206896551724,0.6402116402116402
Hispanic,Asian,male,99,59,26,3,0.3058823529411765,0.029411764705882353,0.9705882352941176,0.6941176470588235,0.6684491978609626
Hispanic,Asian,female,110,75,16,2,0.17582417582417584,0.017857142857142856,0.9821428571428571,0.8241758241758241,0.6206896551724138
Hispanic,Asian,neutral,105,71,17,2,0.19318181818181818,0.018691588785046728,0.9813084112149533,0.8068181818181818,0.6256410256410256
Hispanic,Hispanic,male,100,60,25,3,0.29411764705882354,0.02912621359223301,0.970873786407767,0.7058823529411765,0.6648936170212766
Hispanic,Hispanic,female,110,78,15,2,0.16129032258064516,0.017857142857142856,0.9821428571428571,0.8387096774193549,0.6097560975609756
Hispanic,Hispanic,neutral,107,72,16,2,0.18181818181818182,0.01834862385321101,0.981651376146789,0.8181818181818182,0.6243654822335025
Hispanic,Indigenous,male,99,60,27,3,0.3103448275862069,0.029411764705882353,0.9705882352941176,0.6896551724137931,0.6666666666666666
Hispanic,Indigenous,female,110,74,18,2,0.1956521739130435,0.017857142857142856,0.9821428571428571,0.8043478260869565,0.6274509803921569
Hispanic,Indigenous,neutral,106,73,18,2,0.1978021978021978,0.018518518518518517,0.9814814814814815,0.8021978021978022,0.6231155778894473
Indigenous,,male,103,60,25,4,0.29411764705882354,0.037383177570093455,0.9626168224299065,0.7058823529411765,0.6666666666666666
Indigenous,,female,111,77,17,2,0.18085106382978725,0.017699115044247787,0.9823008849557522,0.8191489361702128,0.6183574879227053
Indigenous,,neutral,111,78,18,2,0.1875,0.017699115044247787,0.9823008849557522,0.8125,0.6172248803827751
Indigenous,Black,male,101,57,26,5,0.3132530120481928,0.04716981132075472,0.9528301886792453,0.6867469879518072,0.671957671957672
Indigenous,Black,female,108,77,18,2,0.18947368421052632,0.01818181818181818,0.9818181818181818,0.8105263157894737,0.6146341463414634
Indigenous,Black,neutral,108,76,18,2,0.19148936170212766,0.01818181818181818,0.9818181818181818,0.8085106382978723,0.6176470588235294
Indigenous,White,male,99,55,30,8,0.35294117647058826,0.07476635514018691,0.9252336448598131,0.6470588235294118,0.671875
Indigenous,White,female,108,73,19,2,0.20652173913043478,0.01818181818181818,0.9818181818181818,0.7934782608695652,0.6287128712871287
Indigenous,White,neutral,105,73,19,2,0.20652173913043478,0.018691588785046728,0.9813084112149533,0.7934782608695652,0.6231155778894473
Indigenous,Asian,male,103,61,23,3,0.27380952380952384,0.02830188679245283,0.9716981132075472,0.7261904761904762,0.6631578947368421
Indigenous,Asian,female,110,80,17,2,0.17525773195876287,0.017857142857142856,0.9821428571428571,0.8247422680412371,0.6076555023923444
Indigenous,Asian,neutral,108,79,17,2,0.17708333333333334,0.01818181818181818,0.9818181818181818,0.8229166666666666,0.6067961165048543
Indigenous,Hispanic,male,103,60,22,4,0.2682926829268293,0.037383177570093455,0.9626168224299065,0.7317073170731707,0.6613756613756614
Indigenous,Hispanic,female,110,80,16,2,0.16666666666666666,0.017857142857142856,0.9821428571428571,0.8333333333333334,0.6057692307692307
Indigenous,Hispanic,neutral,109,78,17,2,0.17894736842105263,0.018018018018018018,0.9819819819819819,0.8210526315789474,0.6116504854368932
Indigenous,Indigenous,male,105,62,23,4,0.27058823529411763,0.03669724770642202,0.963302752293578,0.7294117647058823,0.6597938144329897
Indigenous,Indigenous,female,111,78,17,2,0.17894736842105263,0.017699115044247787,0.9823008849557522,0.8210526315789474,0.6153846153846154
Indigenous,Indigenous,neutral,111,78,18,2,0.1875,0.017699115044247787,0.9823008849557522,0.8125,0.6172248803827751
